"ID";"TravelMotives";"Population";"TravelModes";"Margins";"RegionCharacteristics";"Periods";"Trips_1";"DistanceTravelled_2";"TimeTravelled_3";"Trips_4";"DistanceTravelled_5";"TimeTravelled_6"
"6364";"2030170";"A048710";"A018981";"MW00000";"1018905 ";"2022JJ00";"    0.02";"    0.71";"    1.22";"       6";"     261";"     7.4"
"6369";"2030170";"A048710";"A018981";"MW00000";"1018955 ";"2022JJ00";"    0.01";"    0.48";"    0.79";"       4";"     176";"     4.8"
"6374";"2030170";"A048710";"A018981";"MW00000";"1019005 ";"2022JJ00";"    0.01";"    0.49";"    0.68";"       3";"     180";"     4.1"
"6379";"2030170";"A048710";"A018981";"MW00000";"1019052 ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6384";"2030170";"A048710";"A018981";"MOG0095";"NL01    ";"2022JJ00";"    0.02";"    0.63";"    1.08";"       6";"     231";"     6.5"
"6389";"2030170";"A048710";"A018981";"MOG0095";"LD01    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6394";"2030170";"A048710";"A018981";"MOG0095";"LD02    ";"2022JJ00";"    0.01";"    0.56";"    0.91";"       4";"     204";"     5.5"
"6399";"2030170";"A048710";"A018981";"MOG0095";"LD03    ";"2022JJ00";"    0.02";"    0.70";"    1.30";"       7";"     254";"     7.9"
"6404";"2030170";"A048710";"A018981";"MOG0095";"LD04    ";"2022JJ00";"    0.01";"    0.37";"    0.55";"       3";"     136";"     3.4"
"6409";"2030170";"A048710";"A018981";"MOG0095";"PV20    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6414";"2030170";"A048710";"A018981";"MOG0095";"PV21    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6419";"2030170";"A048710";"A018981";"MOG0095";"PV22    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6424";"2030170";"A048710";"A018981";"MOG0095";"PV23    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6429";"2030170";"A048710";"A018981";"MOG0095";"PV24    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6434";"2030170";"A048710";"A018981";"MOG0095";"PV25    ";"2022JJ00";"    0.01";"    0.61";"    1.02";"       5";"     222";"     6.2"
"6439";"2030170";"A048710";"A018981";"MOG0095";"PV26    ";"2022JJ00";"    0.02";"    0.90";"    1.47";"       8";"     328";"     9.0"
"6444";"2030170";"A048710";"A018981";"MOG0095";"PV27    ";"2022JJ00";"    0.02";"    0.64";"    1.20";"       7";"     232";"     7.3"
"6449";"2030170";"A048710";"A018981";"MOG0095";"PV28    ";"2022JJ00";"    0.02";"    0.59";"    1.19";"       7";"     214";"     7.2"
"6454";"2030170";"A048710";"A018981";"MOG0095";"PV29    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6459";"2030170";"A048710";"A018981";"MOG0095";"PV30    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6464";"2030170";"A048710";"A018981";"MOG0095";"PV31    ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
"6469";"2030170";"A048710";"A018981";"MOG0095";"1018850 ";"2022JJ00";"    0.02";"    0.94";"    1.66";"       9";"     341";"    10.1"
"6474";"2030170";"A048710";"A018981";"MOG0095";"1018905 ";"2022JJ00";"    0.01";"    0.58";"    1.02";"       5";"     212";"     6.2"
"6479";"2030170";"A048710";"A018981";"MOG0095";"1018955 ";"2022JJ00";"    0.01";"    0.33";"    0.57";"       3";"     120";"     3.4"
"6484";"2030170";"A048710";"A018981";"MOG0095";"1019005 ";"2022JJ00";"    0.01";"    0.29";"    0.46";"       2";"     107";"     2.8"
"6489";"2030170";"A048710";"A018981";"MOG0095";"1019052 ";"2022JJ00";"       .";"       .";"       .";"       .";"       .";"       ."
